"Issue Type","Summary","Description","Epic Name","Epic Link","Priority","Labels","Original Estimate"
"Task","KAN-21 Tạo booking + huỷ booking PENDING","Lưu bookingCode; enforce ownership; huỷ khi PENDING.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","High","task,backend","1d"

"Story","KAN-22 Tracking public theo bookingCode","Màn hình: Tracking (public) nhập bookingCode.\nAC: tìm rental theo code; hiển thị map nếu xe có lat/lon.\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","Medium","story,tracking","1d"
"Task","KAN-23 UI tracking + thông báo lỗi","Trang tracking nhập code; hiển thị không tìm thấy.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","Low","task,ui","0.5d"
"Task","KAN-24 Lookup bookingCode","Service tìm rental theo bookingCode; xử lý exception.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","Medium","task,backend","0.5d"
"Task","KAN-25 Embed bản đồ OSM","Render iframe theo lat/lon; fallback khi thiếu tọa độ.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","Low","task,ui","0.5d"

"Story","KAN-26 Tích hợp Jira với Git & Confluence","Yêu cầu chấm: Jira hiển thị branch/commit/PR; Task có link Confluence trong description.","", "KAN-1 Quản lý thuê xe máy (QLTXM)","High","story,jira","2d"
"Task","KAN-27 Kết nối Jira ↔ GitHub","Connect DVCS, test bằng branch/commit/PR có key KAN-xx.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","High","task,jira","1d"
"Task","KAN-28 Kết nối Jira ↔ Confluence","Connect Confluence; tạo page tài liệu; dán link vào các task.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","High","task,confluence","1d"
"Task","KAN-29 Tạo workflow chỉ dành cho Task","Tạo workflow Task: Todo → Dev → InProgress → Test → Done; thêm transition Test → InProgress.\n[Confluence]: <dán link page>\n","", "KAN-1 Quản lý thuê xe máy (QLTXM)","Medium","task,workflow","1d"
