"Issue Type","Summary","Description","Epic Name","Epic Link","Parent","Priority","Assignee","Labels","Story Points"
"Task","KAN-31.3: Validation SĐT/CCCD","Ràng buộc dữ liệu và thông báo lỗi nhập liệu.","","KAN-30: Quản lý Khách hàng (Admin)","","Medium","","validation",""

"Epic","KAN-40: Quản lý Thuê/Trả xe (Admin)","Lập phiếu thuê, duyệt/từ chối, trả xe/hoàn tất, huỷ.","KAN-40: Quản lý Thuê/Trả xe (Admin)","","","Highest","","admin,rental",""
"Story","KAN-41: Lập phiếu thuê + quy trình trạng thái","Tạo phiếu thuê PENDING; approve/reject; cập nhật trạng thái xe.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","Highest","","admin,rental",""
"Task","KAN-41.1: Tạo phiếu thuê trạng thái PENDING","Tạo rental và lưu dữ liệu khách + xe + ngày thuê/trả.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","High","","backend,rental",""
"Task","KAN-41.2: Duyệt (approve) + cập nhật trạng thái xe","Approve rental; chuyển xe sang RENTED (hoặc tương đương).","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","High","","backend,workflow",""
"Task","KAN-41.3: Từ chối (reject) + lưu lý do","Reject rental, lưu reason, hiển thị ở detail.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","Medium","","backend,workflow",""
"Story","KAN-42: Trả xe/Hoàn tất + tính phí","Complete rental với ngày trả thực tế, phụ phí; huỷ đúng điều kiện.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","High","","admin,rental",""
"Task","KAN-42.1: Hoàn tất (complete) với actualReturnDate + extraFee","Tính tổng tiền, cập nhật trạng thái COMPLETED, trả xe về AVAILABLE.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","High","","backend,fees",""
"Task","KAN-42.2: Huỷ (cancel) đúng điều kiện","Cho phép cancel theo trạng thái hợp lệ và cập nhật liên quan.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","Medium","","backend,workflow",""
"Task","KAN-42.3: Trang chi tiết rental + hiển thị trạng thái/lý do","Cập nhật UI detail để admin thao tác approve/reject/complete/cancel.","","KAN-40: Quản lý Thuê/Trả xe (Admin)","","Medium","","thymeleaf,ui",""

"Epic","KAN-50: User portal (khách thuê xe)","User xem xe khả dụng, đặt xe/checkout/đặt cọc, huỷ pending, xem lịch sử.","KAN-50: User portal (khách thuê xe)","","","High","","user,booking",""
"Story","KAN-51: Home user: xe khả dụng + lịch sử thuê","Search xe AVAILABLE, thống kê rentals, hiển thị lịch sử.","","KAN-50: User portal (khách thuê xe)","","High","","user,ui",""
"Task","KAN-51.1: Search xe khả dụng + thống kê active/pending/completed","Chuẩn hoá thống kê và hiển thị trên user-home.","","KAN-50: User portal (khách thuê xe)","","Medium","","user,stats",""
"Task","KAN-51.2: Danh sách rental của user","Hiển thị rentals theo customerId với trạng thái và thông tin xe.","","KAN-50: User portal (khách thuê xe)","","Medium","","user,rental",""
"Story","KAN-52: Đặt xe + checkout + đặt cọc","Form đặt xe, trang checkout, tạo booking PENDING.","","KAN-50: User portal (khách thuê xe)","","Highest","","user,payment",""
"Task","KAN-52.1: Form chọn xe & ngày thuê/trả","Validate ngày thuê/trả và lựa chọn xe AVAILABLE.","","KAN-50: User portal (khách thuê xe)","","High","","user,form",""
"Task","KAN-52.2: Trang checkout (tóm tắt tiền + payment method)","Hiển thị tổng tiền, số ngày, tiền cọc; chọn phương thức.","","KAN-50: User portal (khách thuê xe)","","High","","user,checkout",""
"Task","KAN-52.3: Tạo booking theo customer + trạng thái PENDING","Lưu bookingCode, deposit, notes; cập nhật dữ liệu liên quan.","","KAN-50: User portal (khách thuê xe)","","High","","backend,booking",""
"Story","KAN-53: Huỷ yêu cầu thuê (pending)","Chỉ huỷ booking của chính mình và chỉ khi PENDING.","","KAN-50: User portal (khách thuê xe)","","Medium","","user,workflow",""
"Task","KAN-53.1: API/handler huỷ booking PENDING","Kiểm tra ownership theo customerId; cập nhật status CANCELLED.","","KAN-50: User portal (khách thuê xe)","","Medium","","backend,security",""

"Epic","KAN-60: Tracking (public)","Tra cứu theo bookingCode và hiển thị vị trí xe bằng bản đồ.","KAN-60: Tracking (public)","","","Medium","","tracking,map",""
"Story","KAN-61: Tra cứu bookingCode + hiển thị bản đồ","Trang tracking public, lookup rental, map embed OpenStreetMap.","","KAN-60: Tracking (public)","","Medium","","tracking,map",""
"Task","KAN-61.1: UI tracking nhập mã","Form nhập bookingCode, hiển thị error/success.","","KAN-60: Tracking (public)","","Low","","thymeleaf,ui",""
"Task","KAN-61.2: Lookup rental theo bookingCode + xử lý not found","Tìm rental theo code; thông báo không tìm thấy.","","KAN-60: Tracking (public)","","Medium","","backend,tracking",""
"Task","KAN-61.3: Hiển thị map nếu có lat/lon","Build embed url và render iframe; fallback nếu thiếu tọa độ.","","KAN-60: Tracking (public)","","Low","","map,ui",""

"Epic","KAN-70: Nghiệm thu, test, tài liệu","Test luồng chính, fix bug, hoàn thiện tài liệu nộp thầy.","KAN-70: Nghiệm thu, test, tài liệu","","","High","","test,docs",""
"Story","KAN-71: Test & bugfix","Test luồng Admin/User/Security; fix lỗi.","","KAN-70: Nghiệm thu, test, tài liệu","","High","","test,qa",""
"Task","KAN-71.1: Test luồng Admin (CRUD + rental workflow)","Test motorbike/customer/rental (create/approve/reject/complete/cancel).","" ,"KAN-70: Nghiệm thu, test, tài liệu","","High","","manual-test",""
"Task","KAN-71.2: Test luồng User (đặt xe/checkout/huỷ)","Test user booking từ form → checkout → tạo booking; huỷ pending.","","KAN-70: Nghiệm thu, test, tài liệu","","High","","manual-test",""
"Task","KAN-71.3: Test Security (role-based access)","Đảm bảo ADMIN/USER vào đúng route; /tracking public; access denied hoạt động.","","KAN-70: Nghiệm thu, test, tài liệu","","High","","security,test",""
"Story","KAN-72: Tài liệu nộp thầy","Cập nhật TEACHER-DELIVERABLES.md và hướng dẫn chạy.","","KAN-70: Nghiệm thu, test, tài liệu","","Medium","","docs",""
"Task","KAN-72.1: Cập nhật TEACHER-DELIVERABLES.md (ảnh Jira Dev panel)","Chụp màn hình issue có branch/commit/PR; mô tả workflow và nghiệm thu.","","KAN-70: Nghiệm thu, test, tài liệu","","Medium","","docs,jira",""
"Task","KAN-72.2: README hướng dẫn chạy + tài khoản demo","Mô tả cách chạy local, tài khoản admin/user, port, URL chính.","","KAN-70: Nghiệm thu, test, tài liệu","","Low","","docs",""
